,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.02853626012802124,0.0005417777064188145,6.09297239780426,0.08668843203896719,auto,1,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.9315476190476191,0.9208333333333333,0.9208333333333333,0.9202380952380952,0.9233630952380952,0.004731581278447842,9,1.0,1.0,1.0,1.0,1.0,0.0
1,0.039038658142089844,0.00466996597462233,6.020293891429901,0.11781138937047593,auto,1,1,distance,"{'algorithm': 'auto', 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.9315476190476191,0.9208333333333333,0.9208333333333333,0.9202380952380952,0.9233630952380952,0.004731581278447842,9,1.0,1.0,1.0,1.0,1.0,0.0
2,0.044821321964263916,0.0032256496126315984,0.5786136388778687,0.033044684482386295,auto,1,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.9398809523809524,0.9363095238095238,0.9345238095238095,0.9303571428571429,0.9352678571428572,0.0034290829231556166,3,1.0,1.0,1.0,1.0,1.0,0.0
3,0.02365177869796753,0.006932430001785012,0.5256571769714355,0.013273473412090646,auto,1,2,distance,"{'algorithm': 'auto', 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.9398809523809524,0.9363095238095238,0.9345238095238095,0.9303571428571429,0.9352678571428572,0.0034290829231556166,3,1.0,1.0,1.0,1.0,1.0,0.0
4,0.028517603874206543,0.006625590380092289,5.919126749038696,0.14620076988284542,auto,3,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.9238095238095239,0.9154761904761904,0.9238095238095239,0.9226190476190477,0.9214285714285715,0.003470804699312714,11,0.9553571428571429,0.9567460317460318,0.9601190476190476,0.959920634920635,0.9580357142857143,0.0020451912825484356
5,0.01984494924545288,0.0006453064184857467,5.857479929924011,0.09928206707146996,auto,3,1,distance,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.9261904761904762,0.9196428571428571,0.9273809523809524,0.9273809523809524,0.9251488095238094,0.0032158010096688325,7,1.0,1.0,1.0,1.0,1.0,0.0
6,0.02518075704574585,0.002127784006470658,0.5516631007194519,0.025728599232068286,auto,3,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.9273809523809524,0.9285714285714286,0.9351190476190476,0.9345238095238095,0.9313988095238095,0.0034548174899535294,6,0.9613095238095238,0.9648809523809524,0.9638888888888889,0.9652777777777778,0.9638392857142857,0.0015456782193336138
7,0.02622389793395996,0.00604878471977787,0.5280448794364929,0.006765500951883772,auto,3,2,distance,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.930952380952381,0.930952380952381,0.9380952380952381,0.9375,0.934375,0.0034290829231556166,5,1.0,1.0,1.0,1.0,1.0,0.0
8,0.02582550048828125,0.002934955838737482,5.85408353805542,0.11073262608075275,auto,5,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.9208333333333333,0.9125,0.9154761904761904,0.9273809523809524,0.9190476190476191,0.005662588568583487,12,0.9468253968253968,0.9456349206349206,0.9462301587301587,0.9454365079365079,0.946031746031746,0.00054337555308052
9,0.02493429183959961,0.004119998442377343,5.946557700634003,0.10048151199771196,auto,5,1,distance,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.9273809523809524,0.9178571428571428,0.9202380952380952,0.9315476190476191,0.9242559523809524,0.005477726880745855,8,1.0,1.0,1.0,1.0,1.0,0.0
10,0.02325606346130371,0.0028997961784702356,0.5517997145652771,0.022866606702941612,auto,5,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.9339285714285714,0.9327380952380953,0.9345238095238095,0.9410714285714286,0.9355654761904763,0.003243228380610609,2,0.9571428571428572,0.9523809523809523,0.9547619047619048,0.953968253968254,0.9545634920634921,0.001718304372588201
11,0.023923158645629883,0.0031161634493465195,0.5222283601760864,0.023164818254217463,auto,5,2,distance,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.9404761904761905,0.9345238095238095,0.9369047619047619,0.9434523809523809,0.9388392857142857,0.003403153757746795,1,1.0,1.0,1.0,1.0,1.0,0.0
