,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,6.157287001609802,0.021911860412835577,1.9813066124916077,0.040263965074166054,0.1,scale,linear,420,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'random_state': 420}",0.9172619047619047,0.9208333333333333,0.9119047619047619,0.9136904761904762,0.9159226190476191,0.0034290829231556166,7,0.9783730158730158,0.9785714285714285,0.979563492063492,0.9779761904761904,0.9786210317460317,0.0005848128036979938
1,19.38180321455002,0.1347083293900303,5.362230718135834,0.11157434235010973,0.1,scale,rbf,420,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'random_state': 420}",0.9154761904761904,0.9130952380952381,0.8976190476190476,0.9101190476190476,0.909077380952381,0.006882339928480438,10,0.9238095238095239,0.9220238095238096,0.9279761904761905,0.9228174603174604,0.924156746031746,0.0022941133094934794
2,6.1221818923950195,0.14411478576811967,1.9646335244178772,0.03331087451690066,0.1,0.01,linear,420,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear', 'random_state': 420}",0.9172619047619047,0.9208333333333333,0.9119047619047619,0.9136904761904762,0.9159226190476191,0.0034290829231556166,7,0.9783730158730158,0.9785714285714285,0.979563492063492,0.9779761904761904,0.9786210317460317,0.0005848128036979938
3,17.38597536087036,0.22446642245550857,4.84680849313736,0.05110520589932564,0.1,0.01,rbf,420,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf', 'random_state': 420}",0.9077380952380952,0.9083333333333333,0.893452380952381,0.9023809523809524,0.9029761904761905,0.0059672433499295685,20,0.9166666666666666,0.9156746031746031,0.9200396825396825,0.9136904761904762,0.9165178571428572,0.002298399372659336
4,5.6288251876831055,0.07180965491050331,1.738625943660736,0.043358481984292215,0.1,1,linear,420,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear', 'random_state': 420}",0.9172619047619047,0.9208333333333333,0.9119047619047619,0.9136904761904762,0.9159226190476191,0.0034290829231556166,7,0.9783730158730158,0.9785714285714285,0.979563492063492,0.9779761904761904,0.9786210317460317,0.0005848128036979938
5,38.53529328107834,0.22678392972050024,6.143303632736206,0.10224844930992132,0.1,1,rbf,420,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf', 'random_state': 420}",0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0,21,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0
6,4.770672023296356,0.045155488144646296,1.7006902694702148,0.02240577140858652,1.0,scale,linear,420,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'linear', 'random_state': 420}",0.9047619047619048,0.9101190476190476,0.8928571428571429,0.9107142857142857,0.9046130952380952,0.007172248557908243,11,0.9992063492063492,0.9996031746031746,0.9996031746031746,0.9998015873015873,0.9995535714285715,0.0002162152253740406
7,10.167285144329071,0.2649709680664341,3.519994795322418,0.09332049746640003,1.0,scale,rbf,420,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'random_state': 420}",0.9488095238095238,0.9547619047619048,0.9446428571428571,0.9511904761904761,0.9498511904761904,0.00367833544473463,5,0.983531746031746,0.9829365079365079,0.9831349206349206,0.9817460317460317,0.9828373015873015,0.0006654964218749351
8,5.592472970485687,0.061022336859789,2.014960765838623,0.0326019694576826,1.0,0.01,linear,420,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'linear', 'random_state': 420}",0.9047619047619048,0.9101190476190476,0.8928571428571429,0.9107142857142857,0.9046130952380952,0.007172248557908243,11,0.9992063492063492,0.9996031746031746,0.9996031746031746,0.9998015873015873,0.9995535714285715,0.0002162152253740406
9,5.820825099945068,0.10494948534638965,2.6576364636421204,0.0408565778411183,1.0,0.01,rbf,420,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf', 'random_state': 420}",0.9434523809523809,0.950595238095238,0.9351190476190476,0.9470238095238095,0.944047619047619,0.005740268310114834,6,0.9744047619047619,0.975,0.9742063492063492,0.9751984126984127,0.9747023809523809,0.0004090382565096871
10,3.1175496578216553,0.14466919921450838,1.4339421391487122,0.04313320858663224,1.0,1,linear,420,"{'C': 1.0, 'gamma': 1, 'kernel': 'linear', 'random_state': 420}",0.9047619047619048,0.9101190476190476,0.8928571428571429,0.9107142857142857,0.9046130952380952,0.007172248557908243,11,0.9992063492063492,0.9996031746031746,0.9996031746031746,0.9998015873015873,0.9995535714285715,0.0002162152253740406
11,39.78095269203186,0.4101115821244169,6.544291377067566,0.042396675808020944,1.0,1,rbf,420,"{'C': 1.0, 'gamma': 1, 'kernel': 'rbf', 'random_state': 420}",0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0,21,1.0,1.0,1.0,1.0,1.0,0.0
12,4.515958249568939,0.09668945673859157,1.663806974887848,0.05341552107095746,10,scale,linear,420,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear', 'random_state': 420}",0.9047619047619048,0.9089285714285714,0.8886904761904761,0.9119047619047619,0.9035714285714286,0.008958283894816926,14,1.0,1.0,1.0,1.0,1.0,0.0
