,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_multi_class,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.8134994506835938,0.056161576529148875,0.004681050777435303,0.00040230771719422086,0.001,ovr,l1,420,liblinear,"{'C': 0.001, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 420, 'solver': 'liblinear'}",0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.0,15,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.0
1,1.2660813331604004,0.06596997002312138,0.008783161640167236,0.003295352664770567,0.001,ovr,l1,420,saga,"{'C': 0.001, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 420, 'solver': 'saga'}",0.10476190476190476,0.10476190476190476,0.10416666666666667,0.11904761904761904,0.10818452380952381,0.006276516877667598,16,0.10456349206349207,0.10456349206349207,0.10476190476190476,0.11904761904761904,0.10823412698412699,0.006243698006968077
2,5.560485124588013,0.03879277506703713,0.004824578762054443,0.00017093343293613487,0.001,ovr,l2,420,liblinear,"{'C': 0.001, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 420, 'solver': 'liblinear'}",0.8660714285714286,0.8458333333333333,0.8523809523809524,0.8386904761904762,0.8507440476190476,0.010087266267906153,12,0.8690476190476191,0.8724206349206349,0.8688492063492064,0.8720238095238095,0.8705853174603175,0.00164440321966773
3,22.21177476644516,0.4352175946509882,0.00514751672744751,0.0012566281614626359,0.001,ovr,l2,420,saga,"{'C': 0.001, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 420, 'solver': 'saga'}",0.8720238095238095,0.8589285714285714,0.868452380952381,0.8488095238095238,0.8620535714285715,0.009021097956087921,7,0.8793650793650793,0.8811507936507936,0.8878968253968254,0.8809523809523809,0.8823412698412698,0.003281316549313724
4,1.8405794501304626,0.06970468700542828,0.008718013763427734,0.006164859557665914,0.01,ovr,l1,420,liblinear,"{'C': 0.01, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 420, 'solver': 'liblinear'}",0.8386904761904762,0.8297619047619048,0.819047619047619,0.8285714285714286,0.8290178571428571,0.0069591327089821116,13,0.8430555555555556,0.8511904761904762,0.846031746031746,0.8468253968253968,0.8467757936507937,0.0029105695639247116
5,30.36607301235199,0.19707126007177306,0.004174768924713135,0.0018522697856272524,0.01,ovr,l1,420,saga,"{'C': 0.01, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 420, 'solver': 'saga'}",0.8226190476190476,0.8107142857142857,0.8071428571428572,0.8035714285714286,0.8110119047619049,0.007161434175902335,14,0.8216269841269841,0.8242063492063492,0.8301587301587302,0.8242063492063492,0.8250496031746031,0.003132078151763306
6,8.486429274082184,0.2219178147336909,0.0043631792068481445,0.0008295337456091774,0.01,ovr,l2,420,liblinear,"{'C': 0.01, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 420, 'solver': 'liblinear'}",0.8892857142857142,0.8714285714285714,0.8732142857142857,0.8708333333333333,0.8761904761904762,0.007611138007466891,4,0.9154761904761904,0.9216269841269841,0.9208333333333333,0.9188492063492063,0.9191964285714286,0.0023742257824948963
7,21.98034918308258,0.4579235886710734,0.0045588016510009766,0.0020489209616956485,0.01,ovr,l2,420,saga,"{'C': 0.01, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 420, 'solver': 'saga'}",0.8755952380952381,0.8577380952380952,0.8672619047619048,0.85,0.8626488095238095,0.0096565801088736,6,0.8819444444444444,0.8888888888888888,0.8960317460317461,0.8849206349206349,0.8879464285714286,0.005278253275513013
8,2.575400710105896,0.14306112126732576,0.004334807395935059,0.002028672647149034,0.1,ovr,l1,420,liblinear,"{'C': 0.1, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 420, 'solver': 'liblinear'}",0.9077380952380952,0.881547619047619,0.8910714285714286,0.8910714285714286,0.8928571428571429,0.00943034495104456,1,0.9281746031746032,0.9384920634920635,0.9363095238095238,0.9343253968253968,0.9343253968253968,0.0038448060268008
9,35.7206084728241,0.22339411105877147,0.003971278667449951,0.0006268260087079773,0.1,ovr,l1,420,saga,"{'C': 0.1, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 420, 'solver': 'saga'}",0.8714285714285714,0.8595238095238096,0.8648809523809524,0.85,0.8614583333333333,0.007844675805415013,8,0.8763888888888889,0.8803571428571428,0.8908730158730159,0.8799603174603174,0.8818948412698413,0.005409020928144842
10,14.988911092281342,0.19134801313929162,0.0045798420906066895,0.0021562459929797924,0.1,ovr,l2,420,liblinear,"{'C': 0.1, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 420, 'solver': 'liblinear'}",0.8928571428571429,0.8696428571428572,0.8833333333333333,0.881547619047619,0.8818452380952382,0.008253228942775036,3,0.9615079365079365,0.9628968253968254,0.9621031746031746,0.9636904761904762,0.9625496031746031,0.0008225755928460784
11,22.07076597213745,0.18923531845010833,0.005150794982910156,0.002171668899689796,0.1,ovr,l2,420,saga,"{'C': 0.1, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 420, 'solver': 'saga'}",0.8720238095238095,0.856547619047619,0.8642857142857143,0.85,0.8607142857142858,0.008258593408042645,10,0.8819444444444444,0.888095238095238,0.8972222222222223,0.8845238095238095,0.8879464285714286,0.005783611041818413
