,loss,accuracy,val_loss,val_accuracy,lr
0,6.17407751083374,0.737500011920929,0.7457730174064636,0.9421428442001343,0.001
1,0.2607279419898987,0.9468154907226562,0.1373554915189743,0.9666666388511658,0.001
2,0.09896107763051987,0.9716964364051819,0.06137062609195709,0.9835714101791382,0.001
3,0.07434774935245514,0.9792261719703674,0.047404445707798004,0.9886904954910278,0.001
4,0.06140187010169029,0.9828869104385376,0.045964378863573074,0.9883333444595337,0.001
5,0.05101991817355156,0.9854166507720947,0.044346194714307785,0.9892857074737549,0.001
6,0.0481409914791584,0.9866071343421936,0.05379334092140198,0.988095223903656,0.001
7,0.04354854300618172,0.988095223903656,0.07128195464611053,0.9872618913650513,0.001
8,0.051838796585798264,0.9872618913650513,0.07574263960123062,0.986547589302063,0.001
9,0.03216702118515968,0.991190493106842,0.044287122786045074,0.9909523725509644,0.0005
10,0.024168040603399277,0.9940476417541504,0.042962975800037384,0.991190493106842,0.0005
11,0.02452504262328148,0.9930059313774109,0.03890282288193703,0.9916666746139526,0.0005
12,0.02646433189511299,0.9932737946510315,0.0375540666282177,0.9925000071525574,0.0005
13,0.024231405928730965,0.9939583539962769,0.0466860756278038,0.9915476441383362,0.0005
14,0.0222298726439476,0.9944047331809998,0.0649891123175621,0.9907143115997314,0.0005
15,0.021285422146320343,0.9951785802841187,0.06369484961032867,0.9913095235824585,0.0005
16,0.017942538484930992,0.9956845045089722,0.05971088632941246,0.9927380681037903,0.00025
17,0.014855104498565197,0.9961904883384705,0.07051700353622437,0.9919047355651855,0.00025
18,0.013635841198265553,0.9965476393699646,0.0613475926220417,0.9923809766769409,0.00025
19,0.013948771171271801,0.9967559576034546,0.055984728038311005,0.992976188659668,0.00025
20,0.01650087907910347,0.9960119128227234,0.07409622520208359,0.9922618865966797,0.00025
21,0.017468217760324478,0.9964583516120911,0.07584459334611893,0.9922618865966797,0.00025
22,0.018735041841864586,0.9963988065719604,0.0929877981543541,0.9915476441383362,0.00025
23,0.014916355721652508,0.9970238208770752,0.08310279995203018,0.9927380681037903,0.000125
24,0.015573405660688877,0.996696412563324,0.08344638347625732,0.9932143092155457,0.000125
25,0.012609266676008701,0.9971725940704346,0.08649329096078873,0.9930952191352844,0.000125
26,0.011588502675294876,0.9975297451019287,0.08688026666641235,0.9936904907226562,0.000125
27,0.010513556189835072,0.9974404573440552,0.08233793824911118,0.9934523701667786,0.000125
28,0.012997929006814957,0.9975892901420593,0.09095870703458786,0.9928571581840515,0.000125
29,0.01271867472678423,0.9976488351821899,0.09407497942447662,0.9930952191352844,0.000125
